------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
alloc address : 139806607671296, Size : 32768
alloc address : 139806607704064, Size : 32768
alloc address : 139806607736832, Size : 32768
No CUDA error.
MEMTRACE: CTX 0x000055e4486faf10 - LAUNCH - Kernel pc 0x00007f2746fa0f00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
No CUDA error.
Final sum = 24576; sum/n = 3 (should be ~1)
No CUDA error.
0x0000000040000000,0x00007f274330d280
0x0000000040000000,0x00007f274330d284
0x0000000040000000,0x00007f274330d288
0x0000000040000000,0x00007f274330d28c
0x0000000040000000,0x00007f274330d290
0x0000000040000000,0x00007f274330d294
0x0000000040000000,0x00007f274330d298
0x0000000040000000,0x00007f274330d29c
0x0000000040000000,0x00007f274330d2a0
0x0000000040000000,0x00007f274330d2a4
0x0000000040000000,0x00007f274330d2a8
0x0000000040000000,0x00007f274330d2ac
0x0000000040000000,0x00007f274330d2b0
0x0000000040000000,0x00007f274330d2b4
0x0000000040000000,0x00007f274330d2b8
0x0000000040000000,0x00007f274330d2bc
0x0000000040000000,0x00007f274330d2c0
0x0000000040000000,0x00007f274330d2c4
0x0000000040000000,0x00007f274330d2c8
0x0000000040000000,0x00007f274330d2cc
0x0000000040000000,0x00007f274330d2d0
0x0000000040000000,0x00007f274330d2d4
0x0000000040000000,0x00007f274330d2d8
0x0000000040000000,0x00007f274330d2dc
0x0000000040000000,0x00007f274330d2e0
0x0000000040000000,0x00007f274330d2e4
0x0000000040000000,0x00007f274330d2e8
0x0000000040000000,0x00007f274330d2ec
0x0000000040000000,0x00007f274330d2f0
0x0000000040000000,0x00007f274330d2f4
0x0000000040000000,0x00007f274330d2f8
0x0000000040000000,0x00007f274330d2fc
0x0000000040000000,0x00007f274330b980
0x0000000040000000,0x00007f274330b984
0x0000000040000000,0x00007f274330b988
0x0000000040000000,0x00007f274330b98c
0x0000000040000000,0x00007f274330b990
0x0000000040000000,0x00007f274330b994
0x0000000040000000,0x00007f274330b998
0x0000000040000000,0x00007f274330b99c
0x0000000040000000,0x00007f274330b9a0
0x0000000040000000,0x00007f274330b9a4
0x0000000040000000,0x00007f274330b9a8
0x0000000040000000,0x00007f274330b9ac
0x0000000040000000,0x00007f274330b9b0
0x0000000040000000,0x00007f274330b9b4
0x0000000040000000,0x00007f274330b9b8
0x0000000040000000,0x00007f274330b9bc
0x0000000040000000,0x00007f274330b9c0
0x0000000040000000,0x00007f274330b9c4
0x0000000040000000,0x00007f274330b9c8
0x0000000040000000,0x00007f274330b9cc
0x0000000040000000,0x00007f274330b9d0
0x0000000040000000,0x00007f274330b9d4
0x0000000040000000,0x00007f274330b9d8
0x0000000040000000,0x00007f274330b9dc
0x0000000040000000,0x00007f274330b9e0
0x0000000040000000,0x00007f274330b9e4
0x0000000040000000,0x00007f274330b9e8
0x0000000040000000,0x00007f274330b9ec
0x0000000040000000,0x00007f274330b9f0
0x0000000040000000,0x00007f274330b9f4
0x0000000040000000,0x00007f274330b9f8
0x0000000040000000,0x00007f274330b9fc
0x0000000040000000,0x00007f2743308d00
0x0000000040000000,0x00007f2743308d04
0x0000000040000000,0x00007f2743308d08
0x0000000040000000,0x00007f2743308d0c
0x0000000040000000,0x00007f2743308d10
0x0000000040000000,0x00007f2743308d14
0x0000000040000000,0x00007f2743308d18
0x0000000040000000,0x00007f2743308d1c
0x0000000040000000,0x00007f2743308d20
0x0000000040000000,0x00007f2743308d24
0x0000000040000000,0x00007f2743308d28
0x0000000040000000,0x00007f2743308d2c
0x0000000040000000,0x00007f2743308d30
0x0000000040000000,0x00007f2743308d34
0x0000000040000000,0x00007f2743308d38
0x0000000040000000,0x00007f2743308d3c
0x0000000040000000,0x00007f2743308d40
0x0000000040000000,0x00007f2743308d44
0x0000000040000000,0x00007f2743308d48
0x0000000040000000,0x00007f2743308d4c
0x0000000040000000,0x00007f2743308d50
0x0000000040000000,0x00007f2743308d54
0x0000000040000000,0x00007f2743308d58
0x0000000040000000,0x00007f2743308d5c
0x0000000040000000,0x00007f2743308d60
0x0000000040000000,0x00007f2743308d64
0x0000000040000000,0x00007f2743308d68
0x0000000040000000,0x00007f2743308d6c
0x0000000040000000,0x00007f2743308d70
0x0000000040000000,0x00007f2743308d74
0x0000000040000000,0x00007f2743308d78
0x0000000040000000,0x00007f2743308d7c
0x0000000040000000,0x00007f274330f100
0x0000000040000000,0x00007f274330f104
0x0000000040000000,0x00007f274330f108
0x0000000040000000,0x00007f274330f10c
0x0000000040000000,0x00007f274330f110
0x0000000040000000,0x00007f274330f114
0x0000000040000000,0x00007f274330f118
0x0000000040000000,0x00007f274330f11c
0x0000000040000000,0x00007f274330f120
0x0000000040000000,0x00007f274330f124
0x0000000040000000,0x00007f274330f128
0x0000000040000000,0x00007f274330f12c
0x0000000040000000,0x00007f274330f130
0x0000000040000000,0x00007f274330f134
0x0000000040000000,0x00007f274330f138
0x0000000040000000,0x00007f274330f13c
0x0000000040000000,0x00007f274330f140
0x0000000040000000,0x00007f274330f144
0x0000000040000000,0x00007f274330f148
0x0000000040000000,0x00007f274330f14c
0x0000000040000000,0x00007f274330f150
0x0000000040000000,0x00007f274330f154
0x0000000040000000,0x00007f274330f158
0x0000000040000000,0x00007f274330f15c
0x0000000040000000,0x00007f274330f160
0x0000000040000000,0x00007f274330f164
0x0000000040000000,0x00007f274330f168
0x0000000040000000,0x00007f274330f16c
0x0000000040000000,0x00007f274330f170
0x0000000040000000,0x00007f274330f174
0x0000000040000000,0x00007f274330f178
0x0000000040000000,0x00007f274330f17c
0x0000000040000000,0x00007f274330e200
0x0000000040000000,0x00007f274330e204
0x0000000040000000,0x00007f274330e208
0x0000000040000000,0x00007f274330e20c
0x0000000040000000,0x00007f274330e210
0x0000000040000000,0x00007f274330e214
0x0000000040000000,0x00007f274330e218
0x0000000040000000,0x00007f274330e21c
0x0000000040000000,0x00007f274330e220
0x0000000040000000,0x00007f274330e224
0x0000000040000000,0x00007f274330e228
0x0000000040000000,0x00007f274330e22c
0x0000000040000000,0x00007f274330e230
0x0000000040000000,0x00007f274330e234
0x0000000040000000,0x00007f274330e238
0x0000000040000000,0x00007f274330e23c
0x0000000040000000,0x00007f274330e240
0x0000000040000000,0x00007f274330e244
0x0000000040000000,0x00007f274330e248
0x0000000040000000,0x00007f274330e24c
0x0000000040000000,0x00007f274330e250
0x0000000040000000,0x00007f274330e254
0x0000000040000000,0x00007f274330e258
0x0000000040000000,0x00007f274330e25c
0x0000000040000000,0x00007f274330e260
0x0000000040000000,0x00007f274330e264
0x0000000040000000,0x00007f274330e268
0x0000000040000000,0x00007f274330e26c
0x0000000040000000,0x00007f274330e270
0x0000000040000000,0x00007f274330e274
0x0000000040000000,0x00007f274330e278
0x0000000040000000,0x00007f274330e27c
0x0000000040000000,0x00007f274330a380
0x0000000040000000,0x00007f274330a384
0x0000000040000000,0x00007f274330a388
0x0000000040000000,0x00007f274330a38c
0x0000000040000000,0x00007f274330a390
0x0000000040000000,0x00007f274330a394
0x0000000040000000,0x00007f274330a398
0x0000000040000000,0x00007f274330a39c
0x0000000040000000,0x00007f274330a3a0
0x0000000040000000,0x00007f274330a3a4
0x0000000040000000,0x00007f274330a3a8
0x0000000040000000,0x00007f274330a3ac
0x0000000040000000,0x00007f274330a3b0
0x0000000040000000,0x00007f274330a3b4
0x0000000040000000,0x00007f274330a3b8
0x0000000040000000,0x00007f274330a3bc
0x0000000040000000,0x00007f274330a3c0
0x0000000040000000,0x00007f274330a3c4
0x0000000040000000,0x00007f274330a3c8
0x0000000040000000,0x00007f274330a3cc
0x0000000040000000,0x00007f274330a3d0
0x0000000040000000,0x00007f274330a3d4
0x0000000040000000,0x00007f274330a3d8
0x0000000040000000,0x00007f274330a3dc
0x0000000040000000,0x00007f274330a3e0
0x0000000040000000,0x00007f274330a3e4
0x0000000040000000,0x00007f274330a3e8
0x0000000040000000,0x00007f274330a3ec
0x0000000040000000,0x00007f274330a3f0
0x0000000040000000,0x00007f274330a3f4
0x0000000040000000,0x00007f274330a3f8
0x0000000040000000,0x00007f274330a3fc
0x0000000040000000,0x00007f274330cf80
0x0000000040000000,0x00007f274330cf84
0x0000000040000000,0x00007f274330cf88
0x0000000040000000,0x00007f274330cf8c
0x0000000040000000,0x00007f274330cf90
0x0000000040000000,0x00007f274330cf94
0x0000000040000000,0x00007f274330cf98
0x0000000040000000,0x00007f274330cf9c
0x0000000040000000,0x00007f274330cfa0
0x0000000040000000,0x00007f274330cfa4
0x0000000040000000,0x00007f274330cfa8
0x0000000040000000,0x00007f274330cfac
0x0000000040000000,0x00007f274330cfb0
0x0000000040000000,0x00007f274330cfb4
0x0000000040000000,0x00007f274330cfb8
0x0000000040000000,0x00007f274330cfbc
0x0000000040000000,0x00007f274330cfc0
0x0000000040000000,0x00007f274330cfc4
0x0000000040000000,0x00007f274330cfc8
0x0000000040000000,0x00007f274330cfcc
0x0000000040000000,0x00007f274330cfd0
0x0000000040000000,0x00007f274330cfd4
0x0000000040000000,0x00007f274330cfd8
0x0000000040000000,0x00007f274330cfdc
0x0000000040000000,0x00007f274330cfe0
0x0000000040000000,0x00007f274330cfe4
0x0000000040000000,0x00007f274330cfe8
0x0000000040000000,0x00007f274330cfec
0x0000000040000000,0x00007f274330cff0
0x0000000040000000,0x00007f274330cff4
0x0000000040000000,0x00007f274330cff8
0x0000000040000000,0x00007f274330cffc
0x0000000040000000,0x00007f2743309f80
0x0000000040000000,0x00007f2743309f84
0x0000000040000000,0x00007f2743309f88
0x0000000040000000,0x00007f2743309f8c
0x0000000040000000,0x00007f2743309f90
0x0000000040000000,0x00007f2743309f94
0x0000000040000000,0x00007f2743309f98
