------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
No CUDA error.
MEMTRACE: CTX 0x000055f5fd963f10 - LAUNCH - Kernel pc 0x00007fa672fa1a00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d580
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d5a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d5c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d5e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ba00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ba20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ba40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ba60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308a00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308a20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308a40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308a60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c480
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c4a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c4c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c4e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e500
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e520
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e540
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e560
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a200
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a220
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a240
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a260
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f280
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f2a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f2c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730f2e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309280
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573092a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573092c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573092e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309d00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309d20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309d40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309d60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730cb80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730cba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730cbc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730cbe0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b580
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b5a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b5c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b5e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e580
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e5a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e5c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e5e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c180
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c1a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c1c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c1e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d480
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d4a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d4c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730d4e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bf00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bf20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bf40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730bf60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308380
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573083a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573083c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573083e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a380
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a3a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a3c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a3e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308000
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308020
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308040
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308060
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a000
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a020
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a040
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a060
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730db00
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730db20
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730db40
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730db60
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c780
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c7a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c7c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730c7e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ec80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730eca0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ecc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ece0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b500
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b520
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b540
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b560
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730ae80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730aea0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730aec0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730aee0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e300
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e320
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e340
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e360
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a500
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a520
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a540
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a560
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a880
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a8a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a8c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730a8e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308b80
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308ba0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308bc0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308be0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b200
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b220
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b240
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730b260
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657308580
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573085a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573085c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa6573085e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e880
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e8a0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e8c0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e8e0
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e700
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e720
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e740
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa65730e760
0x4000000040000000400000004000000040000000400000004000000040000000,0x00007fa657309100
